area,group,special
2009,864.0,421
2009,861.77,421
2009,869.24,421
2009,865.51,421
2009,870.77,421
2009,871.52,421
2009,867.0,421
2009,869.24,421
2009,864.0,421
2009,836.0,421
2009,882.08,421
2009,862.51,421
2009,866.27,421
2009,867.0,421
2009,866.23,421
2009,865.48,421
2009,871.52,421
2009,882.86,421
2009,867.0,421
2009,876.0,421
2009,874.53,421
2009,886.64,421
2009,855.0,421
2009,855.0,421
2009,864.0,421
2009,864.0,421
2009,864.0,421
2009,864.0,421
2009,864.0,421
2009,864.0,421
2009,864.0,421
2009,864.0,421
2009,864.0,421
2009,864.0,421
2009,864.0,421
2009,864.0,421
2009,864.0,421
2009,864.0,421
2009,864.0,421
2009,864.0,421
2009,864.0,421
2009,1106.73,421
2009,1106.73,421
2009,864.0,421
2009,859.5,421
2009,864.0,421
2009,1164.0,421
2009,1146.0,421
2009,1027.19,421
2009,1050.0,421
2009,1151.88,421
2009,864.0,421
2009,867.0,421
2009,861.0,421
2009,861.0,421
2009,859.5,421
2009,885.0,421
2009,867.75,421
2009,870.0,421
2009,871.52,421
2009,864.0,421
2009,865.48,421
2009,855.0,421
2009,855.0,421
2009,855.0,421
2009,859.5,421
2009,864.0,421
2009,862.48,421
2009,865.47,421
2009,861.0,421
2009,1447.5,421
2009,870.0,421
2009,862.48,421
2009,867.0,421
2009,861.0,421
2009,864.0,421
2009,867.0,421
2009,867.0,421
2009,864.0,421
2009,865.47,421
2009,870.0,421
2009,862.48,421
2009,862.48,421
2009,862.48,421
2009,862.48,421
2009,859.5,421
2009,855.0,421
2009,862.48,421
2009,864.0,421
2009,874.53,421
2009,867.0,421
2009,870.0,421
2009,864.0,421
2009,858.0,421
2009,858.0,421
2009,978.88,421
2009,867.0,421
2009,870.0,421
2009,870.0,421
2009,870.0,421
2009,867.0,421
2009,870.0,421
2009,870.0,421
2009,867.0,421
2009,867.0,421
2009,867.0,421
2009,867.0,421
2009,870.0,421
2009,867.0,421
2009,867.0,421
2009,862.48,421
2009,864.0,421
2009,886.64,421
2009,876.0,421
2009,867.0,421
2009,867.0,421
2009,867.0,421
2009,859.5,421
2009,859.5,421
2009,865.47,421
2009,867.0,421
2009,867.0,421
2009,874.53,421
2009,859.5,421
2009,864.0,421
2009,860.94,421
2009,864.0,421
2009,870.0,421
2009,870.0,421
2009,870.0,421
2009,870.0,421
2009,870.0,421
2009,867.0,421
2009,868.51,421
2009,870.76,421
2009,913.07,421
2009,1170.0,421
2009,980.58,421
2009,1060.0,421
2009,1061.25,421
2009,873.74,421
2009,868.51,421
2009,862.48,421
2009,861.77,421
2009,386.49,421
2009,868.51,421
2009,868.51,421
2009,868.51,421
2009,866.27,421
2009,867.0,421
2009,864.0,421
2009,866.27,421
2009,870.0,421
2009,867.0,421
2009,871.49,421
2009,870.0,421
2009,867.0,421
2009,867.0,421
2009,868.51,421
2009,864.0,421
2009,862.48,421
2009,870.0,421
2009,867.0,421
2009,867.0,421
2009,870.0,421
2009,864.0,421
2009,864.0,421
2009,864.0,421
2009,867.0,421
2009,864.0,421
2009,867.0,421
2009,862.48,421
2009,867.0,421
2009,847.56,421
2009,865.47,421
